province,rptn,rptm,corpId,corpName,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C9_avg,C10_avg,C11_avg
北京市,2015,12,82289,北京宏和信典当有限公司, 0.050551688, 0.046511305,-0.000070158,-1.070489845, 1.040782,-0.00011783, 0.0, 0.0, 0.0, 0.493163794, 0.755928584, 0.221475809, 0.639905674, 0.624551407
北京市,2015,12,50127,北京郭氏双赢典当有限责任公司                       , 0.003833199,-0.000150792, 0.000540418, 0.243902439, 2.026586667, 0.000321817, 0.382507268, 0.0, 0.0, 0.960577391, 0.0, 0.221475809, 0.639905674, 0.624551407
北京市,2015,12,68493,北京新坤元典当行有限公司, 1.0, 0.004389173, 0.003641661,-0.683333333, 0.074074074, 0.002814815, 0.0, 0.0, 0.0, 0.0, 0.0, 0.221475809, 0.639905674, 0.624551407
北京市,2015,12,91051,北京融昌典当有限公司, 0.002393776, 0.0,-0.000797925, 0.0, 0.99456,-0.0008, 0.0, 0.0, 0.0, 0.999436937, 1.0, 0.221475809, 0.639905674, 0.624551407
北京市,2015,12,1259,北京昊融兴业典当行有限公司, 0.03393952, 0.01631126, 0.010533868,-0.860076651, 1.2005875, 0.008165298, 0.0, 0.0, 0.0, 0.378981124, 0.75276012, 0.221475809, 0.639905674, 0.624551407
北京市,2015,12,1261,北京鑫富天宏典当有限责任公司, 0.009174312, 0.005535055, 0.0, 0.0, 6.029, 0.0, 0.0, 0.0, 0.0, 0.278155581, 0.0, 0.221475809, 0.639905674, 0.624551407
北京市,2015,12,3905,北京市天鸿典当有限公司, 0.001306762,-0.000652955, 0.000326691,-0.5, 0.656666667, 0.000327118, 0.0, 0.0, 0.0, 0.609137056, 0.842105263, 0.221475809, 0.639905674, 0.624551407
北京市,2015,12,7575,北京普临典当有限责任公司, 0.000825109, 0.001342602, 0.005049824,-1.345581205, 0.98502449, 0.005022233, 0.0, 0.0, 0.0, 0.249739984, 0.613395225, 0.221475809, 0.639905674, 0.624551407
北京市,2015,12,50230,北京中都天成典当有限公司, 0.003184655, 0.003324529, 0.002883984,-0.475409836, 10.375, 0.002166821, 0.0, 0.0, 0.0, 1.0, 0.0, 0.221475809, 0.639905674, 0.624551407
北京市,2015,12,1278,北京市金寿典当有限责任公司, 0.018708233, 0.094604122, 0.124774779,-0.289350623, 12.62462, 0.09365893, 0.0, 0.0, 0.0, 0.740061879, 0.136054422, 0.221475809, 0.639905674, 0.624551407
北京市,2015,12,14554,北京燎原典当有限责任公司, 0.002796693,-0.003375863,-0.002900917,-0.934277843, 0.166666667,-0.002909053, 0.0, 0.0, 0.0, 1.0, 0.0, 0.221475809, 0.639905674, 0.624551407
北京市,2015,12,50124,北京龙泰典当有限责任公司, 0.017641597, 0.009665414, 0.00088208,-1.017228464, 0.96,-0.000217391, 0.0, 0.0, 0.0, 0.0, 0.0, 0.221475809, 0.639905674, 0.624551407
北京市,2015,12,68492,北京国鑫典当有限公司, 0.00148183, 0.004693123, 0.007281577, 0.031539889, 11.288, 0.005464373, 0.0, 0.0, 0.0, 0.0, 0.0, 0.221475809, 0.639905674, 0.624551407
北京市,2015,12,14464,北京安泰典当行有限公司, 0.0,-0.030844156,-0.020100503,-1.777777778, 2.1,-0.023450586, 0.0, 0.0, 0.0, 1.0, 0.0, 0.221475809, 0.639905674, 0.624551407
北京市,2015,12,73200,北京诺万典当有限责任公司, 0.00367505, 0.010959561, 0.009397852, 56.090666667, 5.24044135, 0.008489276, 0.0, 0.0, 0.0, 0.401397489, 0.444444444, 0.221475809, 0.639905674, 0.624551407
北京市,2015,12,6775,北京昌盛典当行有限公司, 0.000653097,-0.057047255, 0.003069555, 0.670967742, 0.0, 0.002653145, 0.0, 0.0, 0.0, 0.0, 0.0, 0.221475809, 0.639905674, 0.624551407
北京市,2015,12,7175,北京银嘉宝通典当有限公司, 0.008348794, 0.071139352,-0.000185529,-1.096618357, 3.895,-0.000187178, 0.0, 0.0, 0.308641975, 0.0, 0.0, 0.221475809, 0.639905674, 0.624551407
