province,rptn,rptm,corpId,corpName,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C9_avg,C10_avg,C11_avg,t1,t7,t8,t9,t10,t11,FAC1_1,FAC2_1,FAC3_1,FAC4_1,FAC5_1,FAC6_1,score
安徽省,2015,12,3988,铜陵国元典当有限责任公司,.440699743,.104221016,.088632579,-.315644323,5.087912,.118778163,0,0,0,.461859403,.788504807,.097721032,.672849331,.726333192,2.26911863663147,1,1,10.2332116181499,4.7395627340088,16.084510592173,2.25815690204934,-.039921555894412,.0999853539076494,.183981223570344,.0470098800304406,.0121328390512767,0.713921757723
安徽省,2015,12,1925,芜湖金财典当有限责任公司,.01273264,-.039772228,.124780845,-.473817552,8.720083333,.091715923,.021905295,0,0,.546539119,1.060965016,.097721032,.672849331,.726333192,78.5383078450345,.978094705,1,10.2332116181499,7.91701624251885,2.98835893145656,2.42313534574027,-.511837853905196,.318052088701072,.42309226597008,-.325703435761261,-.136201986506704,0.680305737272
安徽省,2015,12,33537,安徽九鼎典当有限公司,.015419499,.077503141,.099269284,-.154243729,10.769906667,.070724426,0,0,0,.953230173,0,.097721032,.672849331,.726333192,64.8529501509744,1,1,10.2332116181499,3.56657749105411,1.37677860658748,2.50535406883321,-.517933735447206,.383414764996591,-.0091177844123726,-.285945029135908,-.0953370610249849,0.663242356555
安徽省,2015,12,1923,黄山国元典当有限公司,.035955727,-.058310383,.124939217,-.230978731,3.57975,.097178798,0,0,0,.432921293,.764845319,.097721032,.672849331,.726333192,27.8119811066537,1,1,10.2332116181499,4.16791638166107,25.9658470694179,1.8120570574783,-.0703406895085041,.165831197100967,.663772247455616,-.101676831014047,.0756663788577407,0.640477407251
安徽省,2015,12,531,安庆振风典当有限责任公司,.078401362,-.067694994,.129618102,-.066812946,2.610953023,.105422321,0,0,0,.773613767,0,.097721032,.672849331,.726333192,12.7548804573063,1,1,10.2332116181499,9.92413632921044,1.37677860658748,1.7976356408454,.00137488395578931,.0650734223179339,.729240542100533,-.0603604514941999,-.228182969698748,0.610743861521
安徽省,2015,12,74216,黄山金茂典当有限公司,.005462185,.099655052,.114585012,1.106815296,1.760666667,.086410751,0,0,0,.204468005,0,.097721032,.672849331,.726333192,183.076918852071,1,1,10.2332116181499,2.13501253036719,1.37677860658748,1.7572661481368,.246902336216764,.0131237423747742,.286775090755785,.193684754711661,-.197075532493889,0.608235105575
安徽省,2015,12,16200,安徽国元典当有限公司,.507800402,.082112414,.068645061,.646539695,5.528148,.10664211,0,0,0,.33398129,.526505163,.097721032,.672849331,.726333192,1.96927768481759,1,1,10.2332116181499,2.95100121288806,5.00430297493451,1.97032220165282,-.081395578639807,.170662483445778,.17109938871706,-.0190033413300446,-.106419818539258,0.605973743881
安徽省,2015,12,59643,庐江县邦信典当有限责任公司,.064347693,.077884456,.092131869,.556356299,8.48,.073847627,0,0,0,.606132075,0,.097721032,.672849331,.726333192,15.540572682225,1,1,10.2332116181499,14.9886260310226,1.37677860658748,2.20837205977163,-.309311196214825,.168863395565557,.0250971419459029,-.170464490950803,-.107792608376149,0.598081381652
安徽省,2015,12,1914,安徽芜湖市国元典当有限责任公,.09702458,.060613398,.104253862,-.317607973,2.0777,.086549806,0,0,0,.417625259,.959283388,.097721032,.672849331,.726333192,10.3066666199431,1,1,10.2332116181499,3.9181257166056,4.29276307627575,1.62118329772437,.190256396217362,.0388950243044065,.333806058912876,.12091213042703,-.160970539383918,0.563360477984
安徽省,2015,12,74022,安徽金寨县明鑫典当有限公司,.196974467,.172929025,.060695563,-.292779503,8.006,.056689258,0,0,0,.850861854,.173913043,.097721032,.672849331,.726333192,5.07680013166377,1,1,10.2332116181499,5.61758230908283,1.81021637572456,1.92576179383395,-.159048469818405,.208179204703184,-.293449250977207,-.0409530663904043,-.0763658860121229,0.521258164134
安徽省,2015,12,73964,淮北市同创典当有限公司,.097461194,.01305054,.084324922,6.746105403,5.032,.069191346,0,0,0,1,.833287784,.097721032,.672849331,.726333192,10.2604940382733,1,1,10.2332116181499,3.05669556799836,9.34976218692882,1.52576008425629,-.0877332314535037,.219922823639422,.371216916678668,-.101879034337212,-.0638207963547449,0.501748960089
安徽省,2015,12,67458,安徽唐泰典当有限公司,.004064173,.070499907,.079188114,.178621858,5.3885,.066268647,0,0,0,.037116081,0,.097721032,.672849331,.726333192,246.052517941534,1,1,10.2332116181499,1.5729867833718,1.37677860658748,1.6278123602176,-.0563180845381055,.211649904975246,.122103273164705,-.0448112465363805,-.142481042985709,0.49933362657
安徽省,2015,12,16202,安徽博文典当有限公司,.01309128,-.028334836,.105485428,-.282167563,2.886,.079846105,0,0,0,.773042273,.241212333,.097721032,.672849331,.726333192,76.3867245983586,1,1,10.2332116181499,9.98074295492791,2.06134199642815,1.4663854072729,.0475995959339229,.0736906713167372,.504277568225703,-.0406648763077871,-.188985634156165,0.497291951934
安徽省,2015,12,526,滁州市信和典当有限责任公司,.016362054,.066852368,.085465622,.300353357,4.04,.065121217,0,0,0,.291831683,.934924078,.097721032,.672849331,.726333192,61.1170211270541,1,1,10.2332116181499,2.62455034628737,4.79407331344285,1.50155034193225,.0535544146342348,.147894241420922,.179248926558723,.016905471126651,-.117893765537781,0.490347272759
安徽省,2015,12,59739,安徽顺昌典当有限公司,.007311112,.063255727,.077208673,.215720524,4.845466667,.058332984,0,0,0,.539060565,0,.097721032,.672849331,.726333192,136.778098871964,1,1,10.2332116181499,7.47446911947749,1.37677860658748,1.45694552854338,-.00342683056398648,.136994974400044,.115446729572603,-.0309895739198247,-.140728122718306,0.447992808765
安徽省,2015,12,16199,安徽安粮典当有限公司,.076892861,.101288712,.074634194,-.221311475,2.436086957,.060638298,0,0,0,.575138319,1,.097721032,.672849331,.726333192,13.0051084976536,1,1,10.2332116181499,10.2342610063234,3.65407850264399,1.25678827987266,.240594996167902,-.0163984715701399,.0764414848900915,.138897751438962,-.128909192657089,0.426149293763
安徽省,2015,12,74197,芜湖亚夏典当有限公司,.035952134,-.010376255,.086250658,-.092006666,.74608,.067076746,0,0,0,.335084709,.833333333,.097721032,.672849331,.726333192,27.8147605925145,1,1,10.2332116181499,2.96064162693747,9.34578207705353,.957737182704327,.257928244479261,.0705073404694344,.472206429544855,.071225305889377,-.11300857616444,0.400383156259
安徽省,2015,12,82865,安徽金鹰典当有限公司,.031225806,.056722116,.036769032,1.212974552,2.236555556,.028260522,0,0,0,.714292811,.719360568,.097721032,.672849331,.726333192,32.0247938515983,1,1,10.2332116181499,24.1292478334348,143.418030285299,.507358983066587,.269672750293318,-.112213700397371,.0254291959686928,.0700241731063267,1.55720053691989,0.388473976935
安徽省,2015,12,16218,淮北市互信典当有限公司,.023054643,.040444748,.064038994,-.688222492,4.0572,.048812542,0,0,0,.533372769,.676229508,.097721032,.672849331,.726333192,43.3752107981026,1,1,10.2332116181499,7.169663387602,19.9586122250013,1.10652797858699,.0551916862143834,.137539726703553,.13681669694797,-.0337029406780974,.0763373775089057,0.383272058565
安徽省,2015,12,1995,安徽省太平洋典当有限公司,.02176047,.046819277,.066964175,-.104031783,4.17111,.051344537,0,0,0,.789957589,0,.097721032,.672849331,.726333192,45.9548897611127,1,1,10.2332116181499,8.53910746413801,1.37677860658748,1.18442200768637,.0499736553924698,.120142535117075,.131056090726403,-.0281331945646528,-.142613085946294,0.375785184045
安徽省,2015,12,34543,安徽汇鑫源典当有限公司,.010408484,.043403748,.049757195,.407407407,7,.037705894,0,0,0,0,0,.097721032,.672849331,.726333192,96.075470740984,1,1,10.2332116181499,1.4862168303174,1.37677860658748,1.23137261862653,-.182784851225908,.327677073367732,.0141587414410962,-.185517527373994,-.106768280969568,0.34739595125
安徽省,2015,12,59614,安徽深安典当有限责任公司,.021941373,-.148557764,.087063367,3.756410256,1.06,.066570967,0,0,0,.820754717,1,.097721032,.672849331,.726333192,45.5759992777116,1,1,10.2332116181499,6.76107900492549,3.65407850264399,.685026749882314,.101181008969488,.14380219499366,.848643538805824,-.131782069161287,-.199861292498605,0.318088567857
安徽省,2015,12,61681,芜湖市企融典当有限公司,.055642511,.045662848,.060416341,-.343537415,1.897619048,.0479821,0,0,0,1,.992735198,.097721032,.672849331,.726333192,17.971870464293,1,1,10.2332116181499,3.05669556799836,3.7537254880881,.81708465626751,.241814329691988,.0973159899088305,.191246890194466,.0736240931967914,-.137941044251641,0.317708275102
安徽省,2015,12,83049,蒙城县民和典当有限公司,.026261704,.070829512,.047731141,-12.028585034,6.1321875,.048431311,.190876351,0,0,.345360037,0,.097721032,.672849331,.726333192,38.0782602682598,.809123649,1,10.2332116181499,3.05353493479393,1.37677860658748,1.32454451873053,-.358199729085106,.259519821626304,-.285168337782079,-.0952386909322666,-.120708790577036,0.30355472555
安徽省,2015,12,59649,安徽金信典当有限公司,.053367404,.006275877,.026176967,.280949689,12.155,.020734966,0,0,0,1,0,.097721032,.672849331,.726333192,18.7380296781908,1,1,10.2332116181499,3.05669556799836,1.37677860658748,1.40000075265248,-.629763021154973,.561221356413086,-.138879845248478,-.502481155199598,-.0427728092050934,0.300525587514
安徽省,2015,12,74193,安徽巾帼典当有限公司,.123046919,.017792296,.050759922,-.747418595,1.354276,.043412146,0,0,0,.400213841,.698113208,.097721032,.672849331,.726333192,8.12698122087884,1,1,10.2332116181499,3.66790104985965,35.4358811826399,.563186522475133,.269620911014318,.0957167634696516,.242667943541893,.0572717135208841,.233132066008813,0.297819483185
安徽省,2015,12,66966,池州上瑞典当有限公司,.160588088,.116051058,.025231247,-.875676207,8.443,.020861605,0,0,0,.856686012,1.013446329,.097721032,.672849331,.726333192,6.22711193871366,1,1,10.2332116181499,5.43961082500178,3.48294756014595,1.19951451517901,-.205462831253165,.308624803445179,-.331805937886848,-.171216077817833,-.033024900293142,0.294400151944
安徽省,2015,12,32641,安徽长运典当有限责任公司,.017244618,-.121649505,.059797462,-.58305615,6.184608,.045633318,0,0,0,.890696387,.992212875,.097721032,.672849331,.726333192,57.989107094167,1,1,10.2332116181499,4.59037647036185,3.76109971516703,.924411175882531,-.279020435874408,.373822302016896,.476798040266468,-.364678516268254,-.123154188921512,0.285198431682
安徽省,2015,12,606,安徽省信邦典当行有限公司,.014566909,.209563427,.02896037,-.592726571,3.7151,.023222556,0,0,0,.934333627,.392272237,.097721032,.672849331,.726333192,68.6487435323444,1,1,10.2332116181499,3.824321442233,2.99346566856339,.898668279810294,.280352940405793,.0690312653045075,-.410134148185378,.188259519722306,-.0733064266921072,0.28392554317
安徽省,2015,12,530,兴达典当有限公司,.501052927,-.009972549,.036747157,-.418948927,3.950083333,.055219471,0,0,0,.401890255,.889796416,.097721032,.672849331,.726333192,1.99579714260406,1,1,10.2332116181499,3.69059422095165,6.11758397717642,.803888733288273,.0210754512963273,.21710231051842,.23995485550941,-.106649802220605,-.0915119736115994,0.282468639398
安徽省,2015,12,74212,安徽和顺典当有限公司,.002917076,.031904835,.054055731,-.507822259,2.648269231,.040660342,0,0,0,.39024036,0,.097721032,.672849331,.726333192,342.809032058129,1,1,10.2332116181499,3.5384580909146,1.37677860658748,.751014742620421,.174260849948164,.13935774227273,.169166546453845,.0138459350803034,-.154935076898094,0.279582826004
安徽省,2015,12,50308,安徽元通典当有限责任公司,.106613918,.011834502,.045242443,-.539318024,4.177437326,.037579473,0,0,0,.888377676,.836480228,.097721032,.672849331,.726333192,9.37963840706051,1,1,10.2332116181499,4.63976095580375,9.07877357680329,.784318929199632,.0329556900673622,.207450377426082,.146895547461166,-.092967674060323,-.0459015803361753,0.271839940186
安徽省,2015,12,3987,滁州市皖江典当有限公司,.005298896,.046645731,.044408963,6.306122449,1.9294,.044204547,0,0,0,.991499948,0,.097721032,.672849331,.726333192,188.718555714247,1,1,10.2332116181499,3.13823337112823,1.37677860658748,.646791648118963,.247801600180402,.107154123705513,.22444087374658,.0679919705467089,-.156083913228189,0.270932732393
安徽省,2015,12,33516,合肥金龙典当有限责任公司,.09418725,.020905067,.047585686,-.426938842,2.517336,.038418912,0,0,0,.800980084,.895442331,.097721032,.672849331,.726333192,10.6171482870558,1,1,10.2332116181499,7.80452761406936,5.91334096970359,.636273172217437,.184485765876882,.0995124169419344,.170927156913353,.00239542776523302,-.0975308858560957,0.247460794767
安徽省,2015,12,74146,宁国鑫泰典当有限公司,.00091687,.011124845,.05806846,-.432539683,.8,.043744264,0,0,0,.622916667,.601503759,.097721032,.672849331,.726333192,1090.66716110245,1,1,10.2332116181499,20.0269707220108,8.01093120402141,.558277952148314,.325171026372011,-.10313155651482,.245490015554064,.0884868035149727,-.0892627947393011,0.242092421527
安徽省,2015,12,83525,安徽驭鹏典当有限公司,.00439153,.033676604,.049756708,1.871040218,2.069,.036643856,.09569378,0,0,.919445787,.614800759,.097721032,.672849331,.726333192,227.711071084565,.90430622,1,10.2332116181499,4.05520831978218,8.96600184450383,.631296186860614,.0911365576847166,.119563576795147,.127666589834737,.0454395566008539,-.0695330067371171,0.235617017278
安徽省,2015,12,1920,阜阳市信和典当有限责任公司,.004663368,.034201448,.035757758,.614671815,3.6875,.033209453,0,0,0,.133966102,0,.097721032,.672849331,.726333192,214.437290816423,1,1,10.2332116181499,1.85568959319014,1.37677860658748,.650257495574656,.100624286192012,.209884184606664,.0949406319643551,-.04453409249,-.134040854759233,0.231743725331
安徽省,2015,12,16216,阜阳市金源典当有限公司,.001884194,.007895117,.006628154,-.521178637,13.74599,.004982943,0,0,0,.95606064,0,.097721032,.672849331,.726333192,530.730911997385,1,1,10.2332116181499,3.5309324459215,1.37677860658748,1.27535945694777,-.740683706226465,.636080429813075,-.280243051984519,-.589925422418429,-.0110618345911053,0.228148779116
安徽省,2015,12,82821,定远县鼎盛典当有限公司,.005455325,.026457356,.049660885,.938604651,1.654219048,.037448843,.088625821,0,0,.979745873,.372093023,.097721032,.672849331,.726333192,183.307135688525,.911374179,1,10.2332116181499,3.25842706953668,2.82294354935225,.570194719697892,.128862266776487,.116726321353745,.155062906356537,.0546138110935077,-.148700074867056,0.218563336525
安徽省,2015,12,50822,合肥市玖号典当有限公司,.280123624,.390551085,.001183819,-.951471602,1.845714286,.001204646,0,0,0,1,.972222222,.097721032,.672849331,.726333192,3.56985243058258,1,1,10.2332116181499,3.05669556799836,4.06687520789358,.634258092118776,.642921345079292,-.102833403558575,-.929997033984309,.506273791038328,-.0252856922803284,0.217292418935
安徽省,2015,12,74195,安徽德润典当有限责任公司,.025793651,.04009434,.038548753,-.113043478,2.478125,.029677044,0,0,0,.176544767,1,.097721032,.672849331,.726333192,38.7692304590769,1,1,10.2332116181499,2.01489180744266,3.65407850264399,.509066107280867,.210853922335409,.15742174006781,.102937541822862,.0205460631645609,-.118071093702784,0.212497356682
安徽省,2015,12,82909,蚌埠华芳典当有限公司,.005908138,.046678636,.046693349,-14.142857143,1.048,.035269312,0,0,0,1,1.009633911,.097721032,.672849331,.726333192,169.258064046574,1,1,10.2332116181499,3.05669556799836,3.52981807998871,.482498628445731,.338459725650764,.0765142425482323,-.0121855001655175,.102351921067256,-.139836399119755,0.206805054632
安徽省,2015,12,83526,安徽鑫宏典当有限公司,.003938529,0,.038264669,0,2.463836478,.036312091,0,0,0,.414167198,1,.097721032,.672849331,.726333192,253.901900938142,1,1,10.2332116181499,3.86574823859211,3.65407850264399,.479160453111591,.170654360121285,.1618414123965,.217326732141284,-.0289653226388204,-.126839946574114,0.205790644578
安徽省,2015,12,32317,安徽省铜陵市顺通典当有限责任,.000680177,.019238041,.029054399,-.545029051,5.821,.021803697,0,0,0,.958769971,0,.097721032,.672849331,.726333192,1470.20554943787,1,1,10.2332116181499,3.49747398438951,1.37677860658748,.70615334288983,-.080723065522575,.296918306945018,.00971534696449592,-.170789420900294,-.106415154254391,0.205204922008
安徽省,2015,12,73908,安徽汇豪典当有限公司,.013207898,.001745422,.005011925,-.943582511,3.903464052,.002868146,0,0,0,.914676088,.735574869,.097721032,.672849331,.726333192,75.7122745799521,1,1,10.2332116181499,4.13519170668116,108.205469635002,.0510137544450187,.0902513557770628,.245956457844495,.0156570417537045,-.121279334274784,1.1549948339585,0.196247111417
安徽省,2015,12,61566,安徽泰升典当有限公司,.023202287,.001742368,.043435787,.010142923,3.4175,.032066387,0,0,0,.707388442,0,.097721032,.672849331,.726333192,43.0991996607921,1,1,10.2332116181499,28.9526849721176,1.37677860658748,.618319331477652,.120211769806632,-.0775064721976136,.112405321241485,-.0625100028100629,-.12481895925505,0.18647933721
安徽省,2015,12,527,宣城市国诚典当有限公司,.019762846,.02310803,.033314512,1.368421053,3.745,.025921659,.009195402,.003204272,0,.546061415,0,.097721032,.672849331,.726333192,50.59999961544,.990804598,.996795728,10.2332116181499,7.88718697766119,1.37677860658748,.549660633019335,.0549830632754605,.15851577541056,.0942948703185732,-.0624741738876813,-.126448554268996,0.185239316441
安徽省,2015,12,642,安徽恒信典当有限公司,.637981566,.148221038,.007356534,-.896984906,5.460314,.013543869,0,0,0,.73383527,.83714074,.097721032,.672849331,.726333192,1.56744340791815,1,1,10.2332116181499,16.3972223170984,9.02465597379702,.698939300934062,.105590185433513,.0599028583280229,-.413564047829292,.0125020904265221,.0275250194596776,0.182945021135
安徽省,2015,12,67035,休宁县麒麟典当有限公司,.084999592,.02328837,.034762677,-.222162162,2.2063,.028496178,0,0,0,0,0,.097721032,.672849331,.726333192,11.7647623532122,1,1,10.2332116181499,1.4862168303174,1.37677860658748,.394100199068153,.220162994129742,.167558903818432,.142710149010012,.00813773938086477,-.149275203834814,0.181278231155
安徽省,2015,12,67097,铜陵通宝典当有限责任公司,.000801647,.024900333,.034653014,-.1081588,2.96,.026010612,0,0,0,.614864865,0,.097721032,.672849331,.726333192,1247.43184967947,1,1,10.2332116181499,17.2459982644317,1.37677860658748,.474217107069899,.177046813952016,.0242236386335298,.0660400662768811,-.0150788881266366,-.127950837681911,0.166727105017
安徽省,2015,12,83684,岳西县万鑫典当有限公司,.117590822,-.003809524,.015296367,-.702702703,8.045,.010638298,0,0,0,.446861405,0,.097721032,.672849331,.726333192,8.50406505364849,1,1,10.2332116181499,4.42501516651823,1.37677860658748,.695269230833241,-.274976878739305,.404168304104008,-.0576119056668642,-.326217669582053,-.0768469243718388,0.1584132452
安徽省,2015,12,33530,安徽银丰典当有限公司,.096959561,.041262288,.009264131,-.737624498,10.1155,.007345566,0,0,0,.704364589,0,.097721032,.672849331,.726333192,10.3135780493066,1,1,10.2332116181499,31.7306620177439,1.37677860658748,.981196035105303,-.371443683415808,.156177858002928,-.332284028120719,-.355609324734104,-.0220685125680434,0.157352544799
安徽省,2015,12,66603,安徽信发典当有限公司,.050356119,.042346061,.027882929,-.239965419,1.71026,.022019307,0,0,0,1,.839651324,.097721032,.672849331,.726333192,19.8585597909164,1,1,10.2332116181499,3.05669556799836,8.82471306533716,.257712595933854,.290575718444234,.123755480186485,.074136634132622,.0537180942498051,-.0556757860708954,0.154449137879
安徽省,2015,12,32541,马鞍山市银河典当有限公司,.001520913,.004583652,.01026616,-.529411765,8.978,.006092917,0,0,0,.940654934,0,.097721032,.672849331,.726333192,657.499804393808,1,1,10.2332116181499,3.73405182265735,1.37677860658748,.738610003573827,-.341176769507964,.447366953382622,-.123759267330883,-.361460046170821,-.0622201932850707,0.15425546381
安徽省,2015,12,61637,合肥美时典当有限公司,.001894744,.033844951,.007898666,-.896224483,8.43693,.005937199,0,0,0,.507835789,0,.097721032,.672849331,.726333192,527.775783958149,1,1,10.2332116181499,6.06010869095823,1.37677860658748,.720093148540628,-.263004395229459,.380032807211332,-.198688562203974,-.295471319808771,-.0593909242215378,0.150998678373
安徽省,2015,12,50776,黄山市天龙典当有限公司,.037130611,.059518535,.025369389,5.333333333,1.19416,.023723784,0,0,0,.991625913,0,.097721032,.672849331,.726333192,26.931956492717,1,1,10.2332116181499,3.13699329394278,1.37677860658748,.22743742829304,.348377205663546,.0907776136848243,.110444428711468,.103293184735937,-.144716665656712,0.150891574965
安徽省,2015,12,61846,滁州中都典当有限公司,.001005432,.11085954,.021399783,-.405178649,1.44424,.0160656,0,0,0,.527543899,.576834609,.097721032,.672849331,.726333192,994.597347209956,1,1,10.2332116181499,6.88205517327115,6.68902661104153,.270980020046813,.390981591208222,.0275071456956607,-.133606262479363,.161257424399807,-.0626244072395766,0.14605742358
安徽省,2015,12,521,淮南市仁信典当有限责任公司,.343142407,.490503231,-.012743037,-2.447761194,3.8302,-.0194,.184876286,0,0,.763093311,0,.097721032,.672849331,.726333192,2.91424195785862,.815123714,1,10.2332116181499,11.0810715573493,1.37677860658748,.828597404714331,.335219467709737,-.157044364591134,-1.48417423410588,.543702230888479,-.00381290752778978,0.145306635834
安徽省,2015,12,1918,巢湖市金鑫典当有限责任公司,.054041516,.035823917,-.005553229,-11.492857143,12.844445,-.006994106,0,0,0,.9851609,0,.097721032,.672849331,.726333192,18.5042921445801,1,1,10.2332116181499,3.2019306976105,1.37677860658748,1.01459697072699,-.616812989717579,.596014313925046,-.510660628700272,-.522947996877016,-.00662701495223427,0.143114581625
安徽省,2015,12,656,界首市鑫安典当有限责任公司,.094873306,.022289157,.029080731,-.051282051,2.049,.022017257,0,0,0,.351390922,.303643725,.097721032,.672849331,.726333192,10.5403726523454,1,1,10.2332116181499,3.11082233969496,2.36580297847829,.262866731072305,.2420964374548,.151048436612004,.119151755151405,.00989723670127133,-.132965668020365,0.142566989137
安徽省,2015,12,82830,芜湖市龙跃典当有限公司,.004447115,.007202345,.012666644,7.14893617,6.377325,.009473163,0,0,0,.491350213,0,.097721032,.672849331,.726333192,224.864884312639,1,1,10.2332116181499,5.5096686475358,1.37677860658748,.484417818771175,-.12322453541221,.321490917002939,.0453203973849522,-.228789713091391,-.0882506386258546,0.135077170401
安徽省,2015,12,10131,蚌埠市华运典当有限公司,.000710013,.021165001,.025651097,-.183662573,1.6367,.023114484,0,0,0,.12728865,0,.097721032,.672849331,.726333192,1408.42491616351,1,1,10.2332116181499,1.83297666937255,1.37677860658748,.191260486784662,.275345514290261,.150667499123526,.131796832987993,.0327282389269651,-.149034974614049,0.129489664446
安徽省,2015,12,16212,安徽省安庆市发投典当有限责任,.017144798,.015440219,.027110714,-.693347631,.88,.02049194,0,0,0,.935064935,.655723236,.097721032,.672849331,.726333192,58.3267297754106,1,1,10.2332116181499,3.81365557482231,14.1623087826312,.076676447626237,.337795651156106,.103911417452151,.153952784599681,.056396639282661,-.00448268379367332,0.123536709255
安徽省,2015,12,10104,安徽中泰创展典当有限公司,.0500042,.066408408,.02083869,-.458338991,1.486857143,.016034985,0,0,0,.767486549,.618468757,.097721032,.672849331,.726333192,19.9983201411081,1,1,10.2332116181499,10.5666673337756,9.27089638025731,.172733086073649,.349290929824783,.0215936473328802,-.0343829155872552,.0955361217376557,-.0368476245133366,0.117417171089
